tconst,titleType,primaryTitle,originalTitle,startYear,runtimeMinutes,genres,averageRating,numVotes,plot
tt2396566,movie,20 Feet from Stardom,Twenty Feet from Stardom,2013,91.0,"Biography,Documentary,History",7.4,14198.0,"{'en-US': ""Backup singers live in a world that lies just beyond the spotlight. Their voices bring harmony to the biggest bands in popular music, but we've had no idea who these singers are or what lives they lead, until now.""}"
tt2396589,movie,Mudbound,Mudbound,2017,134.0,"Drama,War",7.4,55996.0,"{'en-US': 'Two men return home from World War II to work on a farm in rural Mississippi, where they struggle to deal with racism and adjusting to life after war.'}"
tt2397461,movie,Clifford the Big Red Dog,Clifford the Big Red Dog,2021,96.0,"Adventure,Comedy,Family",5.9,17983.0,"{'en-US': ""A young girl's love for a tiny puppy named Clifford makes the dog grow to an enormous size.""}"
tt2397535,movie,Predestination,Predestination,2014,97.0,"Action,Drama,Sci-Fi",7.4,321238.0,"{'en-US': 'As his last assignment, a temporal agent is tasked to travel back in time and prevent a bomb attack in New York in 1975. The hunt, however, turns out to be beyond the bounds of possibility.'}"
tt2398149,movie,An Officer and a Spy,J'accuse,2019,132.0,"Drama,History,Thriller",7.2,22121.0,"{'en-US': ""In 1894, French Captain Alfred Dreyfus is wrongfully convicted of treason and sentenced to life imprisonment at Devil's island.""}"
tt2398231,movie,The Homesman,The Homesman,2014,122.0,"Drama,Western",6.6,37176.0,"{'en-US': 'Three women who have been driven mad by pioneer life are to be transported across the country by covered wagon by the pious, independent-minded Mary Bee Cuddy, who in turn employs low-life drifter George Briggs to assist her.'}"
tt2398241,movie,Smurfs: The Lost Village,Smurfs: The Lost Village,2017,90.0,"Adventure,Animation,Comedy",6.0,25779.0,"{'en-US': 'A mysterious map sets Smurfette and her friends Brainy, Clumsy and Hefty on an exciting race through the Forbidden Forest, leading to the discovery of the biggest secret in Smurf history.'}"
tt2398249,movie,They Came Together,They Came Together,2014,83.0,"Comedy,Romance",5.6,25335.0,"{'en-US': 'Molly owns a quaint little sweet shop. Joel works for a gigantic candy company threatening to shut her down. How they meet, fall in love, break up and get back together is hilariously recounted in this rom-com spoof.'}"
tt2400463,movie,The Invitation,The Invitation,2015,100.0,"Drama,Horror,Mystery",6.6,123617.0,"{'en-US': 'When a man accepts an invitation to a dinner party hosted by his ex-wife, the unsettling past reopens old wounds and creates new tensions.'}"
tt2401097,movie,Tracers,Tracers,2015,94.0,"Action,Crime,Drama",5.6,20466.0,"{'en-US': 'Wanted by the Chinese mafia, a New York City bike messenger escapes into the world of parkour after meeting a beautiful stranger.'}"
tt2401807,movie,Rage,Tokarev,2014,92.0,"Action,Thriller",5.0,25995.0,"{'en-US': 'When the daughter of a reformed criminal is kidnapped, he rounds up his old crew and seeks his own brand of justice.'}"
tt2401878,movie,Anomalisa,Anomalisa,2015,90.0,"Animation,Comedy,Drama",7.2,77118.0,{'en-US': 'A man crippled by the mundanity of his life experiences something out of the ordinary.'}
tt2402101,movie,Dark Places,Dark Places,2015,113.0,"Crime,Drama,Mystery",6.2,48922.0,"{'en-US': 'Libby Day was only eight years old when her family was brutally murdered in their rural Kansas farmhouse. Almost thirty years later, she reluctantly agrees to revisit the crime and uncovers the wrenching truths that led up to that tragic...'}"
tt2402105,movie,Dom Hemingway,Dom Hemingway,2013,93.0,"Comedy,Crime,Drama",6.1,27945.0,"{'en-US': ""After spending 12 years in prison for keeping his mouth shut, notorious safe-cracker Dom Hemingway is back on the streets of London looking to collect what he's owed.""}"
tt2402157,movie,The November Man,The November Man,2014,108.0,"Action,Adventure,Crime",6.3,71888.0,{'en-US': 'An ex-C.I.A. operative is brought back in on a very personal mission and finds himself pitted against his former pupil in a deadly game involving high-level C.I.A. officials and the Russian President-elect.'}
tt2402927,movie,Carol,Carol,2015,118.0,"Drama,Romance",7.3,148317.0,{'en-US': 'An aspiring photographer develops an intimate relationship with an older woman in 1950s New York.'}
tt2403021,movie,The Green Inferno,The Green Inferno,2013,100.0,"Adventure,Horror",5.4,52262.0,"{'en-US': 'A group of student activists travels to the Amazon to save the rain forest and soon discover that they are not alone, and that no good deed goes unpunished.'}"
tt2403029,movie,The Starving Games,The Starving Games,2013,83.0,"Adventure,Comedy,Sci-Fi",3.2,23319.0,"{'en-US': 'In this ""Hunger Games"" spoof, Kantmiss Evershot must fight for her life in the 75th annual Starving Games, in which she could also win an old ham, a coupon for a foot-long sub, and a partially-eaten pickle.'}"
tt2404181,movie,Belle,Belle,2013,100.0,"Biography,Drama,Romance",7.3,34075.0,"{'en-US': 'The biracial daughter, Dido Elizabeth Belle (Gugu Mbatha-Raw), of Royal Navy Captain Sir John Lindsay (Matthew Goode) is raised by aristocratic Great-uncle Lord William Murray, 1st Earl of Mansfield (Tom Wilkinson) in 18th century England.'}"
tt2404233,movie,Gods of Egypt,Gods of Egypt,2016,127.0,"Action,Adventure,Drama",5.4,130705.0,"{'en-US': ""Mortal hero Bek teams with the god Horus in an alliance against Set, the merciless god of darkness, who has usurped Egypt's throne, plunging the once peaceful and prosperous empire into chaos and conflict.""}"
tt2404311,movie,The Family,The Family,2013,111.0,"Comedy,Crime,Thriller",6.3,125643.0,"{'en-US': 'The Manzoni family, a notorious Mafia clan, is relocated to Normandy, France, under the Witness Protection Program, where fitting in soon becomes challenging as their old habits die hard.'}"
tt2404425,movie,Woman in Gold,Woman in Gold,2015,109.0,"Biography,Drama,History",7.3,64850.0,"{'en-US': 'Maria Altmann, an octogenarian Jewish refugee, takes on the Austrian government to recover artwork she believes rightfully belongs to her family.'}"
tt2404435,movie,The Magnificent Seven,The Magnificent Seven,2016,132.0,"Action,Adventure,Drama",6.9,236792.0,{'en-US': 'Seven gunmen from a variety of backgrounds are brought together by a vengeful young widow to protect her town from the private army of a destructive industrialist.'}
tt2404461,movie,The Past,Le passé,2013,130.0,"Drama,Mystery",7.7,51760.0,"{'en-US': ""An Iranian man deserts his French wife and her two children to return to his homeland. Meanwhile, his wife starts up a new relationship, a reality her husband confronts upon his wife's request for a divorce.""}"
tt2404463,movie,The Heat,The Heat,2013,117.0,"Action,Comedy,Crime",6.6,184789.0,{'en-US': 'An uptight FBI Special Agent is paired with a foul-mouthed Boston cop to take down a ruthless drug lord.'}
tt2404465,movie,Troop Zero,Troop Zero,2019,94.0,"Comedy,Drama,Family",6.9,12604.0,"{'en-US': ""In rural 1977 Georgia, a misfit girl dreams of life in outer space. When a competition offers her a chance to be recorded on NASA's Golden Record, she recruits a makeshift troop of Birdie Scouts, forging friendships that last a lifetime.""}"
tt2404738,movie,Witching and Bitching,Las brujas de Zugarramurdi,2013,112.0,"Action,Adventure,Comedy",6.4,15856.0,"{'en-US': 'A gang of armed robbers finds a safe haven in a secluded village crammed with witches--only to encounter the bizarre, the unexpected, and the occult. Can they save themselves, and the rest of the world from the next witch apocalypse?'}"
tt2406252,movie,Venus in Fur,La Vénus à la fourrure,2013,96.0,Drama,7.1,21493.0,"{'en-US': ""An actress attempts to convince a director how she's perfect for a role in his upcoming production.""}"
tt2406566,movie,Atomic Blonde,Atomic Blonde,2017,115.0,"Action,Thriller",6.7,213792.0,{'en-US': 'An undercover MI6 agent is sent to Berlin during the Cold War to investigate the murder of a fellow agent and recover a missing list of double agents.'}
tt24068064,movie,Reality,Reality,2023,83.0,Drama,6.7,26226.0,{'en-US': 'A former American intelligence specialist was given the longest sentence for the unauthorized release of government information to the media about Russian interference in the 2016 United States elections via an email operation.'}
tt24082438,movie,20 Days in Mariupol,20 Days in Mariupol,2023,95.0,"Documentary,War",8.5,25413.0,"{'en-US': ""As the Russian invasion begins, a team of Ukrainian journalists trapped in the besieged city of Mariupol struggle to continue their work documenting the war's atrocities.""}"
tt2409818,movie,Open Windows,Open Windows,2014,100.0,"Crime,Mystery,Thriller",5.1,15436.0,{'en-US': 'A jilted fan soon finds himself pulled into a deadly game of cat-and-mouse after he accepts the opportunity to spy on his favorite actress via his laptop.'}
tt24132732,movie,The Deepest Breath,The Deepest Breath,2023,108.0,"Adventure,Documentary,Sport",7.7,16188.0,"{'en-US': 'A champion and expert safety diver seemed destined for one another. Despite different paths taken, they meet at the pinnacle of the free-diving world, experiencing the thrilling rewards and inescapable risks of chasing dreams through the...'}"
tt2414766,movie,Frequencies,OXV: The Manual,2013,109.0,"Mystery,Romance,Sci-Fi",6.7,14978.0,"{'en-US': 'In an alternate reality, children learn how lucky they will be (their ""frequency""), knowledge which shapes their destiny. The unluckiest boy must parse the mysteries of free will in order to pursue his forbidden love of the luckiest girl.'}"
tt2415458,movie,The Wolfpack,The Wolfpack,2015,90.0,"Biography,Documentary",7.0,13703.0,"{'en-US': 'Confined in an apartment from a New York housing project, the six Angulo brothers learned everything they know about the world through watching films and spend their time reenacting their favorite movies with intricate homemade costumes.'}"
tt24169886,movie,The Instigators,The Instigators,2024,101.0,"Action,Comedy,Crime",6.2,37514.0,"{'en-US': ""Follows two robbers who must go on the run with the help of one of their therapists after a theft doesn't go as planned.""}"
tt24176060,movie,Queer,Queer,2024,137.0,"Biography,Drama,History",6.4,20531.0,"{'en-US': 'In 1950s Mexico City, an American immigrant in his late forties leads a solitary life amidst a small American community. However, the arrival of a young student stirs the man into finally establishing a meaningful connection with someone.'}"
tt2417712,movie,Goon: Last of the Enforcers,Goon: Last of the Enforcers,2017,101.0,"Comedy,Sport",5.8,15479.0,"{'en-US': ""A hockey player plagued by injuries is confronted with the possibility of retirement when a tough new player challenges his status as the league's top enforcer.""}"
tt24226474,movie,Jigarthanda Double X,Jigarthanda DoubleX,2023,172.0,"Action,Comedy,Drama",8.0,10992.0,"{'en-US': 'In 1975, a filmmaker agrees to collaborate on a film with a gangster who wishes to become a famous actor.'}"
tt2424988,movie,Gabbar Is Back,Gabbar Is Back,2015,128.0,"Action,Crime,Drama",7.0,27349.0,"{'en-US': 'After a vengeful college professor targets corruption in the government, he adopts the name ""Gabbar"" and becomes a hero to a weary public.'}"
tt24268454,movie,The Kerala Story,The Kerala Story,2023,138.0,Drama,6.9,74524.0,"{'en-US': 'A converted Muslim woman Fatima Ba narrates her ordeal of how she once wanted to become a nurse but was abducted from her home and manipulated by religious vanguards, turned into an ISIS terrorist and landed in Afghanistan jail.'}"
tt2427892,movie,Tom at the Farm,Tom à la ferme,2013,102.0,"Drama,Mystery,Thriller",6.9,19696.0,"{'en-US': ""A grieving man meets his lover's family, who were not aware of their son's sexual orientation.""}"
tt2428170,movie,Creep,Creep,2014,77.0,"Horror,Thriller",6.3,75614.0,"{'en-US': ""A young videographer answers an online ad for a one-day job in a remote town to record the last messages of a dying man. When he notices the man's odd behavior, he starts to question his intentions.""}"
tt2429074,movie,G.B.F.,G.B.F.,2013,92.0,"Comedy,Drama,Romance",5.9,11597.0,"{'en-US': 'What happens after Tanner is outed by his classmates and becomes the title ""gay best friend"" for three high school queen bees?'}"
tt2431286,movie,Philomena,Philomena,2013,98.0,"Biography,Comedy,Drama",7.6,105555.0,"{'en-US': ""A world-weary political journalist picks up the story of a woman's search for her son, who was taken away from her decades ago after she became pregnant and was forced to live in a convent.""}"
tt2436386,movie,Project Almanac,Project Almanac,2015,106.0,"Drama,Mystery,Sci-Fi",6.4,86030.0,"{'en-US': 'A group of teens discovers secret plans for a time machine, and construct one. However, things start to get out of control.'}"
tt2436516,movie,Go Goa Gone,Go Goa Gone,2013,111.0,"Action,Adventure,Comedy",6.7,16166.0,"{'en-US': 'A group of friends, just looking to have a good time in a rave party on a remote island in Goa, find out that the island is infested with Zombies.'}"
tt2436682,movie,The Duel,The Duel,2016,110.0,"Drama,Western",5.8,12341.0,{'en-US': 'A Texas Ranger investigates a series of unexplained deaths in a town called Helena.'}
tt2438644,movie,Department Q: The Keeper of Lost Causes,Kvinden i buret,2013,96.0,"Crime,Drama,Mystery",7.2,34416.0,"{'en-US': 'Police inspector Carl Mørck is put in charge of a department of cold cases, joined only by his assistant Assad. They dig into a case about a missing woman.'}"
tt24429218,movie,Genie,Genie,2023,93.0,"Comedy,Fantasy",5.9,11104.0,{'en-US': 'The film is a fairy-tale comedy about a workaholic man who enlists the help of a magical genie to help win his family back before Christmas.'}
tt24458622,movie,The Six Triple Eight,The Six Triple Eight,2024,127.0,"Drama,History,War",6.7,26264.0,"{'en-US': 'During World War II, 855 women joined the fight to fix the three-year backlog of undelivered mail. Faced with discrimination and a country devastated by war, they managed to sort more than 17 million pieces of mail ahead of time.'}"
tt2446040,tvMovie,Toy Story of Terror,Toy Story of Terror!,2013,22.0,"Adventure,Animation,Comedy",7.4,18672.0,{'en-US': 'Woody and the gang are held up at a roadside motel and members of the group start to disappear. Woody sets about getting to the bottom of the mystery.'}
tt2446042,movie,Taken 3,Taken 3,2014,108.0,"Action,Thriller",6.0,209911.0,"{'en-US': ""Framed for his ex-Wife's murder, Bryan Mills sets out to take revenge on the real killers.""}"
tt2446980,movie,Joy,Joy,2015,124.0,"Biography,Drama",6.6,149253.0,"{'en-US': 'Joy is the story of the title character, who rose to become founder and matriarch of a powerful family business dynasty.'}"
tt24485052,movie,Sirf Ek Bandaa Kaafi Hai,Sirf Ek Bandaa Kaafi Hai,2023,132.0,"Crime,Drama,Thriller",8.0,30328.0,{'en-US': 'A common man with honesty and integrity can take on the system when he has truth on his side.'}
tt2450186,movie,V/H/S/2,V/H/S/2,2013,96.0,"Horror,Thriller",6.0,46557.0,"{'en-US': ""Searching for a missing student, two private investigators break into his house and find a collection of VHS tapes. Viewing the horrific contents of each cassette, they realize there may be dark motives behind the student's disappearance.""}"
tt24509990,movie,The Hatchet Wielding Hitchhiker,The Hatchet Wielding Hitchhiker,2023,85.0,"Crime,Documentary",6.2,13988.0,"{'en-US': ""This shocking documentary chronicles a happy-go-lucky nomad's ascent to viral stardom and the steep downward spiral that resulted in his imprisonment.""}"
tt24517830,movie,Bad Newz,Bad Newz,2024,142.0,"Comedy,Romance",4.7,25886.0,"{'en-US': 'A crazy laugh riot which will show the outcomes of two sophisticated Punjabi men and a Punjabi girl. One of the men has a one night stand with the girl and somehow, craziness happens when she is pregnant unexpectedly.'}"
tt2452042,movie,The Peanuts Movie,The Peanuts Movie,2015,88.0,"Adventure,Animation,Comedy",7.0,51555.0,"{'en-US': 'Snoopy embarks upon his greatest mission as he and his team take to the skies to pursue their archnemesis, while his best pal Charlie Brown begins his own epic quest back home to win the love of his life.'}"
tt2452150,movie,Respect,Respect,2021,145.0,"Biography,Drama,Music",6.6,18697.0,"{'en-US': ""Following the rise of Aretha Franklin's career from a child singing in her father's church's choir to her international superstardom, RESPECT is the remarkable true story of the music icon's journey to find her voice.""}"
tt2452200,movie,Son of a Gun,Son of a Gun,2014,108.0,"Action,Crime,Drama",6.4,30320.0,"{'en-US': ""JR busts out of prison with Brendan Lynch, Australia's most notorious criminal, and joins Lynch's gang for a gold heist that soon pits the two men against one another.""}"
tt2452244,movie,Isn't It Romantic,Isn't It Romantic,2019,89.0,"Comedy,Fantasy,Musical",5.9,75336.0,{'en-US': 'A young woman disenchanted with love mysteriously finds herself trapped inside a romantic comedy.'}
tt2452254,movie,Clouds of Sils Maria,Clouds of Sils Maria,2014,124.0,Drama,6.7,31920.0,{'en-US': 'A film star comes face-to-face with an uncomfortable reflection of herself while starring in a revival of the play that launched her career.'}
tt2452386,movie,The Fundamentals of Caring,The Fundamentals of Caring,2016,97.0,"Comedy,Drama",7.3,82876.0,{'en-US': 'A man suffering a family loss enrolls in a class about care-giving that changes his perspective on life.'}
tt24577462,movie,Afraid,AfrAId,2024,84.0,"Horror,Mystery,Sci-Fi",5.2,13876.0,"{'en-US': ""The Pike family is selected to test a new home device: a digital assistant called AIA. AIA learns the family's behaviors and begins to anticipate their needs. And she can make sure nothing - and no one - gets in her family's way.""}"
tt2458106,movie,Ninja: Shadow of a Tear,Ninja: Shadow of a Tear,2013,95.0,"Action,Thriller",6.1,13815.0,{'en-US': 'Ninjitsu master Casey is back and out for revenge when his pregnant wife is murdered.'}
