tconst,titleType,primaryTitle,originalTitle,startYear,runtimeMinutes,genres,averageRating,numVotes
tt0105793,movie,Wayne's World,Wayne's World,1992,94,"Comedy,Music",7.0,177078.0
tt0105812,movie,White Men Can't Jump,White Men Can't Jump,1992,115,"Comedy,Sport",6.8,101872.0
tt0105839,movie,Once Upon a Time in China II,Wong Fei Hung II: Nam yee tung chi keung,1992,113,"Action,Adventure,Biography",7.3,11025.0
tt0106220,movie,Addams Family Values,Addams Family Values,1993,94,"Comedy,Fantasy",6.8,116737.0
tt0106226,movie,The Age of Innocence,The Age of Innocence,1993,139,"Drama,Romance",7.2,70879.0
tt0106246,movie,Alive,Alive,1993,128,"Biography,Drama,Thriller",7.1,66936.0
tt0106266,movie,Amos & Andrew,Amos & Andrew,1993,96,"Comedy,Crime",5.7,10189.0
tt0106273,tvMovie,And the Band Played On,And the Band Played On,1993,141,"Drama,History",7.8,11344.0
tt0106292,movie,Another Stakeout,Another Stakeout,1993,108,"Comedy,Crime",5.6,15855.0
tt0106307,movie,Arizona Dream,Arizona Dream,1993,142,"Comedy,Drama,Fantasy",7.2,46811.0
tt0106308,movie,Army of Darkness,Army of Darkness,1992,81,"Comedy,Horror",7.4,201719.0
tt0106332,movie,Farewell My Concubine,Ba wang bie ji,1993,171,"Drama,Music,Romance",8.1,35022.0
tt0106333,movie,Baazigar,Baazigar,1993,175,"Crime,Drama,Musical",7.6,30984.0
tt0106341,movie,Bad Boy Bubby,Bad Boy Bubby,1993,114,"Comedy,Crime,Drama",7.3,15568.0
tt0106364,movie,Batman: Mask of the Phantasm,Batman: Mask of the Phantasm,1993,76,"Action,Adventure,Animation",7.8,60218.0
tt0106375,movie,Beethoven's 2nd,Beethoven's 2nd,1993,89,"Comedy,Family,Romance",5.0,30574.0
tt0106387,movie,Benny & Joon,Benny & Joon,1993,98,"Comedy,Drama,Romance",7.1,63561.0
tt0106400,movie,The Beverly Hillbillies,The Beverly Hillbillies,1993,92,"Comedy,Family",5.1,20435.0
tt0106449,tvMovie,Body Bags,Body Bags,1993,94,"Comedy,Horror,Sci-Fi",6.2,13494.0
tt0106452,movie,Body Snatchers,Body Snatchers,1993,87,"Horror,Sci-Fi",6.0,22107.0
